Name
Robert De Niro
Burt Lancaster
Robert Mitchum
Colin Farrell
William Holden
Edward G. Robinson
William Powell
Jared Leto
Errol Flynn
Groucho Marx
James Mason
Buster Keaton
Orson Welles
Fred Astaire
Bradley Cooper
Gary Oldman
Jude Law
Paul Giamatti
Liam Neeson
Matt Damon
Michael Fassbender
Carol Burnett
Jessica Tandy
Helen Hunt
Patricia Arquette
Carmen Miranda
Kate Hudson
Catherine Zeta-Jones
Cameron Diaz
Debbie Reynolds
Ellen Burstyn
Maureen O'Hara
Myrna Loy
Lena Headey
Toni Collette
Laura Linney
Marlene Dietrich
Carole Lombard
Jean Arthur
Jean Harlow
Ginger Rogers
Mary Pickford
Mae West
Gillian Anderson
Emma Watson
Meg Ryan
Alan Arkin
Kurt Russell
Jake Gyllenhaal
Ryan Gosling
Colin Firth
Jamie Foxx
Adrien Brody
Roberto Benigni
Jeremy Irons
F. Murray Abraham
Richard Dreyfuss
Peter Finch
Art Carney
Cliff Robertson
Lee Marvin
Rex Harrison
Anthony Quinn
Maximilian Schell
Tom Hardy
David Niven
William Hurt
Yul Brynner
Ernest Borgnine
Benedict Cumberbatch
Rod Steiger
Chloe Grace Moretz
Anna Kendrick
Emily Watson
Helena Bonham Carter
Keira Knightley
Alexis Thorpe
Marion Davies
Scarlett Johansson
Dakota Fanning
Jennifer Aniston
Jennifer Connelly
Rachel McAdams
Carey Mulligan
Mila Kunis
Amanda Seyfried
Jennifer Lopez
Neve Campbell
Fairuza Balk
Jessica Alba
Kristen Stewart
Julie Walters
Rooney Mara
Jamie Lee Curtis
Emma Stone
Kirsten Dunst
Jose Ferrer
Broderick Crawford
Ronald Colman
Fredric March
Ray Milland
Bing Crosby
Paul Lukas
Robert Donat
Paul Muni
Victor McLaglen
Charles Laughton
Wallace Beery
Lionel Barrymore
Jeff Goldblum
Chris Hemsworth
Warner Baxter
Emil Jannings
Chris Cooper
Jim Broadbent
James Coburn
Cuba Gooding Jr.
Martin Landau
Jack Palance
Kevin Kline
Don Ameche
Kate Beckinsale
Zooey Deschanel
Michelle Williams
Milla Jovovich
Selena Gomez
Rachel Weisz
Kristen Bell
Katherine Heigl
Liv Tyler
Jessica Chastain
Megan Fox
Betty White
Geraldine Page
Eliza Dushku
Robin Wright
Leighton Meester
Jennifer Jones
Shirley Temple
Julia Louis-Dreyfus
Olivia Thirlby
Cher
Sissy Spacek
Louise Fletcher
Julie Christie
Patricia Neal
Haing S. Ngor
Louis Gossett Jr.
John Gielgud
Timothy Hutton
Melvyn Douglas
Jason Robards
George Burns
Christian Bale
Ethan Hawke
Ben Johnson
John Mills
Jack Albertson
Sean Penn
George Kennedy
Walter Matthau
Martin Balsam
Peter Ustinov
Ed Begley
George Chakiris
Hugh Griffith
Burl Ives
Red Buttons
Edmond O'Brien
Chris Pratt
Frank Sinatra
Anne Bancroft
Kim Novak
Simone Signoret
Ellen Page
Angela Lansbury
Judy Holliday
Loretta Young
Shirley Jones
Vera Farmiga
Helen Hayes
Marie Dressler
Janet Gaynor
Lupita Nyong'o
Octavia Spencer
Melissa Leo
Mo'Nique
Marlee Matlin
Tilda Swinton
Jennifer Hudson
Renee Zellweger
Marcia Gay Harden
Anna Paquin
Marisa Tomei
Mercedes Ruehl
Brenda Fricker
Jean Reno
George Sanders
Dean Jagger
Walter Huston
Edmund Gwenn
Harold Russell
Hugh Grant
Barry Fitzgerald
Charles Coburn
Van Heflin
Donald Crisp
Thomas Mitchell
Walter Brennan
Joseph Schildkraut
Keanu Reeves
Channing Tatum
Hugh Jackman
Dwayne Johnson
Adam Sandler
Daniel Radcliffe
Daniel Craig
Henry Cavill
Vin Diesel
Ben Affleck
Chris Pine
Olympia Dukakis
Peggy Ashcroft
Linda Hunt
Maureen Stapleton
Mary Steenburgen
Beatrice Straight
Vanessa Redgrave
Lee Grant
Eileen Heckart
Cloris Leachman
Ruth Gordon
Estelle Parsons
Sandy Dennis
Shelley Winters
Maggie Gyllenhaal
Katie Holmes
Patty Duke
Rita Moreno
Wendy Hiller
Miyoshi Umeki
Dorothy Malone
Jo Van Fleet
Eva Marie Saint
Gloria Grahame
Kim Hunter
Lee J. Cobb
Andrew Garfield
John Cazale
Jeremy Renner
Steve Carell
Jean Dujardin
Chris Evans
James Franco
Zach Galifianakis
Will Ferrell
Shia LaBeouf
Seth Rogen
Joseph Gordon-Levitt
Ryan Reynolds
Paul Rudd
Jason Segel
Jason Statham
Dick Van Dyke
Jesse Eisenberg
Owen Wilson
Jason Bateman
Tyler Perry
Liam Hemsworth
William Shatner
Gene Wilder
Thora Birch
Claire Trevor
Celeste Holm
Anne Baxter
Queen Latifah
Ethel Barrymore
Rosario Dawson
Teresa Wright
Mary Astor
Jane Darwell
Alicia Vikander
Mia Wasikowska
Abigail Breslin
Gale Sondergaard
Melissa McCarthy
Tina Fey
Zoe Saldana
Elisabeth Moss
Adrianne Palicki
Jennifer Garner
Kristen Wiig
June Squibb
Sally Hawkins
Kaley Cuoco
Naomi Watts
Robert Pattinson
Charlie Hunnam
Nicholas Hoult
Aaron Taylor-Johnson
Bryan Cranston
