,Adaptive-Threshold,Precision,Recall,F1-score
50,0.31086735678690713,0.6796002351158377,0.9999999999134948,0.8092404137859144
51,0.45461502632979667,0.6825214899322337,0.9999999999160368,0.8113078536323288
52,0.4288388769538915,0.6889387983891668,0.9999999999185003,0.8158244197268969
53,0.45443320795328956,0.6815920397633172,0.999999999918897,0.8106508393133245
54,0.4590678817700112,0.6801948051579981,0.9999999999204454,0.8096617875080737
55,0.46111152562375424,0.6827330508112959,0.9999999999224204,0.8114573014273119
56,0.48957206918801366,0.6756337299184876,0.9999999999234302,0.8064216869272625
57,0.49655162039883416,0.6826196473207748,0.9999999999261993,0.8113771972393267
58,0.4893038129092638,0.6942800788612288,0.9999999999289773,0.8195575767257893
59,0.47457248025234683,0.6885964911945129,0.9999999999292285,0.8155843672377983
60,0.4777611528652843,0.6820164808200672,0.9999999999289267,0.8109509603857714
61,0.4334957121184966,0.6680952380634241,0.9999999999287241,0.8010276424847244
62,0.4634459267234409,0.6824355971577314,0.9999999999313658,0.8112471677718486
63,0.4623071486809707,0.6732627703325696,0.9999999999316472,0.8047304249095524
64,0.49082504658187454,0.677727272696467,0.9999999999329309,0.8079110869948466
65,0.43430305808510483,0.6877807726555355,0.9999999999346831,0.8150119293093804
66,0.48895140543185966,0.6845369959820764,0.9993531694049577,0.8125163860988306
67,0.4794198794227887,0.6685664182083049,0.9999999999344262,0.8013662157246697
68,0.43215867499552196,0.6735661922952322,0.9999999999359794,0.8049471304230279
69,0.3838290130707248,0.6663840610145663,0.9999999999363867,0.7997964414062733
70,0.4292655667288331,0.6795302013137782,0.9999999999382716,0.8091907609708002
71,0.4755284315566134,0.6623860811656013,0.9999999999374609,0.7969099943848855
72,0.3834788495760481,0.6600741656093913,0.9999999999375779,0.7952345015729807
73,0.4297436482654302,0.6553139105188628,0.9999999999373825,0.7917699075080118
74,0.4763613604270656,0.6659959758283301,0.999999999939577,0.7995168601836128
75,0.4565177796766509,0.6560888536034872,0.9999999999395405,0.7923352814595948
76,0.45526286521712883,0.6639439906392866,0.9999999999414176,0.7980364176403061
77,0.3815620384611769,0.6717791410785361,0.9999999999429223,0.8036696766610584
78,0.43027667264424185,0.6567557395311722,0.9999999999426934,0.7928213969079487
79,0.38588734993899126,0.6545723805755435,0.9999999999434389,0.7912284148872141
80,0.460956253838316,0.657258064492036,0.9999999999442275,0.793187300035361
81,0.4962570626456945,0.6453720507932714,0.999999999943757,0.7844693985708773
82,0.476543252937521,0.6594151212318325,0.9999999999459167,0.7947560234239114
83,0.4773266441359194,0.6532540237700052,0.9999999999464381,0.7902645024305507
84,0.38542116370134233,0.6522938944238602,0.9999999999471179,0.789561538820083
85,0.430872203503758,0.6582104902071234,0.9999999999479167,0.7938804565363438
86,0.47678173309242977,0.6637228260644116,0.9999999999488229,0.7978766363710785
87,0.47621697076855013,0.6627634660199812,0.9999999999495204,0.7971830506162071
88,0.47548595193979876,0.6397618259794985,0.9999999999482937,0.7803106241589743
89,0.42983935225410125,0.6547423695223256,0.9999999999498747,0.7913525899874247
90,0.4582384089299304,0.6461988303883627,0.9999999999497234,0.7850798812305894
91,0.4950093963795652,0.6435897435691157,0.9995022398706072,0.7829985875270383
92,0.38387392895159667,0.6429246769416034,0.9999999999509803,0.7826586901027941
93,0.48777241865779475,0.6615672806537132,0.9995283018396449,0.7961675267157547
94,0.4606670164890723,0.6505243676542096,0.9995260663033401,0.7881165441356207
95,0.38378572010009243,0.6370844769552582,0.9999999999521303,0.7783158987769287
96,0.4594640611025377,0.6366384522177558,0.9999999999525166,0.7779829594546807
97,0.47804161308676946,0.6433045034105784,0.9999999999536394,0.7829400612202558
98,0.43095678705267526,0.6505598114127709,0.9999999999547102,0.7882898486784663
